variant	engine	threads	zipf	rw	ops	batch_size	exit_code	elapsed_sec	average_commit	average_abort	total_commit	log_path
current	ariaer	12	0.2	80	10	1024	0	27	506974	2466.2	506974	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_ariaer_p12_t12_k40000_rw80_ops10_bs1024_zipf_0.2.log
current	ariaer	12	0.2	80	10	2048	0	27	500066	5175.3	500066	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_ariaer_p12_t12_k40000_rw80_ops10_bs2048_zipf_0.2.log
current	ariaer	12	0.2	80	10	4096	0	27	479288	11003.6	479288	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_ariaer_p12_t12_k40000_rw80_ops10_bs4096_zipf_0.2.log
current	ariaer	12	0.2	80	100	1024	0	26	41094.4	69804.8	41094.4	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_ariaer_p12_t12_k40000_rw80_ops100_bs1024_zipf_0.2.log
current	ariaer	12	0.2	80	100	2048	0	26	22926.6	89713.4	22926.6	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_ariaer_p12_t12_k40000_rw80_ops100_bs2048_zipf_0.2.log
current	ariaer	12	0.2	80	100	4096	0	27	12228.2	104917	12228.2	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_ariaer_p12_t12_k40000_rw80_ops100_bs4096_zipf_0.2.log
current	ariaer	12	0.4	50	10	1024	0	27	393289	18257	393289	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_ariaer_p12_t12_k40000_rw50_ops10_bs1024_zipf_0.4.log
current	ariaer	12	0.4	50	10	2048	0	26	368641	35020.2	368641	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_ariaer_p12_t12_k40000_rw50_ops10_bs2048_zipf_0.4.log
current	ariaer	12	0.4	50	10	4096	0	27	325519	64010.4	325519	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_ariaer_p12_t12_k40000_rw50_ops10_bs4096_zipf_0.4.log
current	ariaer	12	0.4	50	100	1024	0	27	7593.8	68591.8	7593.8	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_ariaer_p12_t12_k40000_rw50_ops100_bs1024_zipf_0.4.log
current	ariaer	12	0.4	50	100	2048	0	26	3880.8	73738.4	3880.8	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_ariaer_p12_t12_k40000_rw50_ops100_bs2048_zipf_0.4.log
current	ariaer	12	0.4	50	100	4096	0	26	1980.9	77071.9	1980.9	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_ariaer_p12_t12_k40000_rw50_ops100_bs4096_zipf_0.4.log
current	ariaer	12	0.4	80	10	1024	0	27	502285	3980.4	502285	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_ariaer_p12_t12_k40000_rw80_ops10_bs1024_zipf_0.4.log
current	ariaer	12	0.4	80	10	2048	0	27	496425	8406.7	496425	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_ariaer_p12_t12_k40000_rw80_ops10_bs2048_zipf_0.4.log
current	ariaer	12	0.4	80	10	4096	0	27	473759	17761.4	473759	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_ariaer_p12_t12_k40000_rw80_ops10_bs4096_zipf_0.4.log
current	ariaer	12	0.4	80	100	1024	0	26	31145	82519	31145	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_ariaer_p12_t12_k40000_rw80_ops100_bs1024_zipf_0.4.log
current	ariaer	12	0.4	80	100	2048	0	27	17092.3	99029.3	17092.3	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_ariaer_p12_t12_k40000_rw80_ops100_bs2048_zipf_0.4.log
current	ariaer	12	0.4	80	100	4096	0	26	9050.1	110963	9050.1	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_ariaer_p12_t12_k40000_rw80_ops100_bs4096_zipf_0.4.log
current	ariaer	12	0.6	50	10	1024	0	27	347814	70899.9	347814	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_ariaer_p12_t12_k40000_rw50_ops10_bs1024_zipf_0.6.log
current	ariaer	12	0.6	50	10	2048	0	27	306348	107553	306348	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_ariaer_p12_t12_k40000_rw50_ops10_bs2048_zipf_0.6.log
current	ariaer	12	0.6	50	10	4096	0	26	250070	151747	250070	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_ariaer_p12_t12_k40000_rw50_ops10_bs4096_zipf_0.6.log
current	ariaer	12	0.6	50	100	1024	0	27	1912.2	77550.2	1912.2	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_ariaer_p12_t12_k40000_rw50_ops100_bs1024_zipf_0.6.log
current	ariaer	12	0.6	50	100	2048	0	26	963.3	79113.5	963.3	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_ariaer_p12_t12_k40000_rw50_ops100_bs2048_zipf_0.6.log
current	ariaer	12	0.6	50	100	4096	0	26	495	81834.6	495	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_ariaer_p12_t12_k40000_rw50_ops100_bs4096_zipf_0.6.log
current	ariaer	12	0.6	80	10	1024	0	27	493286	22502.4	493286	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_ariaer_p12_t12_k40000_rw80_ops10_bs1024_zipf_0.6.log
current	ariaer	12	0.6	80	10	2048	0	27	473528	39291.3	473528	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_ariaer_p12_t12_k40000_rw80_ops10_bs2048_zipf_0.6.log
current	ariaer	12	0.6	80	10	4096	0	27	436631	64719.8	436631	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_ariaer_p12_t12_k40000_rw80_ops10_bs4096_zipf_0.6.log
current	ariaer	12	0.6	80	100	1024	0	26	12610.9	109860	12610.9	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_ariaer_p12_t12_k40000_rw80_ops100_bs1024_zipf_0.6.log
current	ariaer	12	0.6	80	100	2048	0	27	6899.9	117209	6899.9	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_ariaer_p12_t12_k40000_rw80_ops100_bs2048_zipf_0.6.log
current	ariaer	12	0.6	80	100	4096	0	26	3674.7	124120	3674.7	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_ariaer_p12_t12_k40000_rw80_ops100_bs4096_zipf_0.6.log
current	ariaer	12	0.8	50	10	1024	0	27	182576	253648	182576	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_ariaer_p12_t12_k40000_rw50_ops10_bs1024_zipf_0.8.log
current	ariaer	12	0.8	50	10	2048	0	26	144728	290881	144728	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_ariaer_p12_t12_k40000_rw50_ops10_bs2048_zipf_0.8.log
